Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
shm3555,Giorello poster - Reaper Princess,"by Tomas Giorello <br>18"" x 24""<p>Tom_s Giorello is an artist from Buenos Aires, who works for the US comic book market. He has created  cover and interior art for  both Dark Horse &amp; Heavy Metal - this work is the cover of the Diabolic Spring 2002 issue.</p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also Check         out <a href=""/shm/product_info.php?products_id=3493"">2002 Spring</a></p></em></font></strong></p>",Heavy Metal,Poster,"Giorello, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/tomasgiorello.jpg?v=1505679820,1,Giorello poster - Reaper Princess,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/tomasgiorello.jpg?v=1505679820,lb,,
shm3554,Sperlonga poster - Barb Wire,"by Lorenzo Sperlonga<p></p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also check         out <a href=""/shm/advanced_search_result.php?keywords=Sperlonga+&amp;x=0&amp;y=0"">A COMPLETE LINE UP OF SPERLONGA TITLES</a></p></em></font></strong></p>",Heavy Metal,Poster,"Lorenzo Sperlonga, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/lorenzosperlonga.jpg?v=1505680011,1,Sperlonga poster - Barb Wire,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/lorenzosperlonga.jpg?v=1505680011,lb,,
shm3553,Sire poster - Biker Chick,"by Denis Sire<p>24"" x 18""</p><p>Denis Sire made his comic debut in M_tal Hurlant and has continued his career with Heavy Metal.   For this Metal Hurlant, he  created amongst others 'Menace diabolique', 'Bois Willys', '6 T M_lodie' and 'Lisa Bay'.   In 1987, he created the  'Best of Racing', an album that appeared at Art Moderne.   After some appearances in Zoulou and l'_cho des Savanes he created 'Ziblyne et Bettie'.   In 1997, he worked with Jean-Pierre Dionnet on 'l'_le des Amazones', again in L'_cho des Savanes.</p><p>Also check out the <a href=""product_info.php?cPath=39&amp;products_id=4290"">Art of Denis Sire</a></p>",Heavy Metal,Poster,"Denis Sire, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/denissire.jpg?v=1505680010,1,Sire poster - Biker Chick,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/denissire.jpg?v=1505680010,lb,,
shm3552,Horley poster - Cop Girl,"by Alex Horley<p>18"" x 24""</p><p>Alex Horley_s artistic talent knows no boundaries.  He has a solid foundation in traditional art with a superior eye for light, color, camera placement and composition.  He is well known for his diverse visual range in regards to concept design, exceptional human and creature anatomy, ability to depict action and strong story and sequence development.  His distinctive compelling imagery leaps from the page and has earned him the reputation of one of today_s top creative visionaries who is finding an ever-expanding audience through his work in heavy metal as well as other venues.</p><p></p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also Check         out  <a href=""product_info.php?cPath=39&amp;products_id=3346"">Angel Wings</a></p></em></font></strong></p>",Heavy Metal,Poster,"Alex Horley, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/alexhorley.jpg?v=1505679838,1,Horley poster - Cop Girl,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/alexhorley.jpg?v=1505679838,lb,,
shm3543,Bisley poster - Satan\'s Mistress,"<p>by Simon Bisley19"" x 24"" - Full Color</p>",Heavy Metal,Poster,"onsale, Posters, Simon Bisley",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/bizsatanmiss.jpg?v=1505679748,1,Bisley poster - Satan's Mistress,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/bizsatanmiss.jpg?v=1505679748,lb,,
shm3541,Bisley poster - Ring Warriors,"by Simon Bisley<br><br>19"" x 24"" - Full Color",Heavy Metal,Poster,"onsale, Posters, Simon Bisley",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/bizring.jpg?v=1505679747,1,Bisley poster - Ring Warriors,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/bizring.jpg?v=1505679747,lb,,
shm3346,Horley poster - Angel Wings,"Angel Wings by Alex Horley<p>This stellar image featuring model Stacy E. Walker graced the cover of the September 2001 magazine</p><p>by Alex Horley18"" x 24""Alex Horley_s artistic talent knows no boundaries. He has a solid foundation in traditional art with a superior eye for light, color, camera placement and composition. He is well known for his diverse visual range in regards to concept design, exceptional human and creature anatomy, ability to depict action and strong story and sequence development. His distinctive compelling imagery leaps from the page and has earned him the reputation of one of today_s top creative visionaries who is finding an ever-expanding audience through his work in Heavy Metal as well as other venues.</p><p></p><p align=""center""><strong><font color=""#990000"" size=""4"" face=""Verdana, Arial, Helvetica, sans-serif""><em><p>Also Check         out <a href=""product_info.php?cPath=39&amp;products_id=3552"">Cop Girl</a></p></em></font></strong></p>",Heavy Metal,Poster,"Horley, onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/hmsep01.jpg?v=1505679837,1,Horley poster - Angel Wings,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hmsep01.jpg?v=1505679837,lb,,
shm3184,Bisley poster - Joan of Arc,"<p>by Simon Bisley18"" x 24""Image appeared as the cover of Heavy Metal magazine (March 2001).  Artwork is alternately called Saint Julie or Joan of Arc.  The image is also used in Julie Strains Greatest Hits</p>",Heavy Metal,Poster,"onsale, Posters, Simon Bisley, Simon Bisley-Eastman Collection",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/JoanofArc.jpg?v=1505679744,1,Bisley poster - Joan of Arc,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/JoanofArc.jpg?v=1505679744,lb,,
shm3183,Bisley poster - Gladiator,"<p>by Simon Bisley18"" x 24""</p>",Heavy Metal,Poster,"onsale, Posters, Simon Bisley, Simon Bisley-Eastman Collection",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/gladiator.jpg?v=1505679741,1,Bisley poster - Gladiator,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/gladiator.jpg?v=1505679741,lb,,
shm3182,Bisley poster - Fistful of Blood,"Eastman &amp; Bisley - 18"" x 24""<p>- ""A mysterious woman wanders into an abandoned ghost town deep in the Badlands of the American Southwest. She soon finds herself in a violent war between high flying Asian Vampires and flesh eating Cowboy Zombies as they battle for the right to feed in the land of the living. Our femme fatal gunfighter is forced to put her deadly guns to use in an all out effort to survive an action packed battle between two of the deadliest evil forces on Earth.""</p>",Heavy Metal,Poster,"onsale, Posters, Simon Bisley, Simon Bisley-Eastman Collection",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/fistfulposter.jpg?v=1505679741,1,Bisley poster - Fistful of Blood,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/fistfulposter.jpg?v=1505679741,lb,,
shm3181,Bisley poster - Coldwater,"<p>by Simon Bisley18"" x 24""</p>",Heavy Metal,Poster,"onsale, Posters, Simon Bisley, Simon Bisley-Eastman Collection",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/Coldwater.jpg?v=1505679739,1,Bisley poster - Coldwater,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/Coldwater.jpg?v=1505679739,lb,,
shm3044,Bisley poster - Monstrosity and Creature,<p>Bisley: Monstrosity and Creature</p>,Heavy Metal,Poster,"onsale, Posters, Simon Bisley",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/monstrosity_and_creature.jpg?v=1505679747,1,Bisley poster - Monstrosity and Creature,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/monstrosity_and_creature.jpg?v=1505679747,lb,,
shm3037,Bisley poster - Snow Leopard,Bisley: Snow Leopard<br>Gorgeous July 2000 cover of Heavy Metal Magazine,Heavy Metal,Poster,"onsale, Posters, Simon Bisley",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/snowleopard.jpg?v=1505679748,1,Bisley poster - Snow Leopard,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/snowleopard.jpg?v=1505679748,lb,,
