Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
shm5355,<!--- 2010 --->Calendar 2010 - Art of Heavy Metal,"<p>The 2010 Art of Heavy Metal calendar12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar Heavy Metal artwork to enjoy year round.</p>",Heavy Metal,Calendar,"Calendars, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,4,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2010heavymetal.jpg?v=1505679520,1,Heavy Metal 2010 Calendar- Art of Heavy Metal,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2010heavymetal.jpg?v=1505679520,lb,,
shm5353,"<!--- 2010 --->Calendar 2010 - Luis Royo, Royo Dead Moon","<p>Dead Moon - the 2010 Luis Royo calendar.</p>
<p>12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar Royo artwork to enjoy year round.</p>",Heavy Metal,Calendar,"Calendars, Luis Royo, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,15,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2010royo.jpg?v=1505679521,1,Royo Dead Moon 2010 Calendar- Luis Royo,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2010royo.jpg?v=1505679521,lb,,
shm5213,<!--- 2009 --->Ruiz Women Calendar works in 2009,"Alberto Ruiz' pin up girls<p>12"" x 12"" opens out double size. Ample room for recording important dates and events and stellar artwork to enjoy year round.</p><p><b>This calendar was originally produced in 2009 BUT will work in 2015 as both 2009 and 2015 have a common starting weekday and equal number of days.<br>Was $12.95, now just $6.50 </b></p>",Heavy Metal,Calendar,"Alberto Ruiz, Calendars, onsale",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_ruiz.jpg?v=1505679517,1,Ruiz Women Calendar works in 2009,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_ruiz.jpg?v=1505679517,lb,,
shm5212,<!--- 2015 --->Victoria Frances Calendar Works in 2015,"Victoria Frances Wall Calendar: This magnificent all calendar from Heavy Metal Magazine features a dozen examples of Gothic beauty by world-renowned artist Victoria Frances.<p><b>This calendar was originally produced in 2009 BUT will work in 2015 as both 2009 and 2015 have a common starting weekday and equal number of days.<br>Was $12.95, now just $6.50 </b></p>",Heavy Metal,Calendar,"Calendars, onsale, Victoria Frances",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_victoria_frances.jpg?v=1505679531,1,Victoria Frances Calendar Works in 2015,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_victoria_frances.jpg?v=1505679531,lb,,
shm5211,<!--- 2009 --->Heavy Metal 2009 Calendar,"<p>12"" x 12""The 2009 Art of Heavy Metal Wall Calendar is available now and waiting for you fantasy lovers to snap it up and hang it on the wall to get you through the year.All calendars are now 50% OFFWas $12.95, now just $6.50</p>",Heavy Metal,Calendar,"Calendars, onsale",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_heavy_metal.jpg?v=1505679516,1,Heavy Metal 2009 Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_heavy_metal.jpg?v=1505679516,lb,,
shm5210,<!--- 2009 --->Calendar 2009 - Luis Royo,"<p>Luis Royo Wall Calendar: Fantasy airbrush artist Luis Royo goes into the depths of his imagination and creates eerie works of subversive beauty for this Heavy Metal calendar.</p>
<p> </p>
<p>The 2011 Royo calendar measures 12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar Heavy Metal artwork to enjoy year round!!</p>",Heavy Metal,Calendar,"Calendars, Luis Royo, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,27,deny,bandwear-fulfillment,7.50,15.00,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_royo.jpg?v=1505679517,1,Luis Royo 2009 Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_royo.jpg?v=1505679517,lb,,
shm5209,"<!--- 2009 --->Calendar 2009 - Luis Royo, Dome","<p>The calendar features selected images from the book ""Dome"" which documents the enormous art work featuring frolicking nude women Royo completed in 2006. The client, obviously a fan of the artist's well-known fantasy pin-ups, asked Luis to paint a fresco on an 80-meter-domed ceiling in his Moscow mansion.</p>
<p>A magnificent 12"" x 18"" wall calendar from the world's foremost erotic artist.</p>
<p><em>Nudity enclosed</em></p>",Heavy Metal,Calendar,"Calendars, Luis Royo, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,17,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_dome.jpg?v=1505679530,1,"Royo Dome Calendar, works in 2015",false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_dome.jpg?v=1505679530,lb,,
shm5208,<!--- 2009 --->Calendar 2009 - Arantza,"<p>12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar Arantza fairy artwork to enjoy year round.</p>",Heavy Metal,Calendar,"Calendars, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,20,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_arantza.jpg?v=1505679515,1,Arantza 2009 Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_arantza.jpg?v=1505679515,lb,,
shm5207,<!--- 2009 --->Dresden Files 2009 Calendar,"<p>The Dresden Files 2009 calendar.  Artwork by Chris McGrath.Spend 2009 with a daily dose of Harry Dresden. A calendar that Mac from McAnally's would be proud to hang in the pub.12"" x 12"", opens out double sizeWas $12.95, now just $6.50</p>",Heavy Metal,Calendar,"Calendars, onsale",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_chris_mcgrath.jpg?v=1505679516,1,Dresden Files 2009 Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2009_calendar_chris_mcgrath.jpg?v=1505679516,lb,,
shm4866,<!--- 2008 --->Calendar 2008 Luis Royo Calendar,<p>Fantasy art for mature audiences in this Luis Royo 12 month 2008 Wall Calendar. - 365 days of pleasure and beauty from world renowned artist Luis RoyoLarge Size approx. 30 x 30 cm (approx. 12 x 12 inches) opens to double the sizeWas $12.95 now only $6.50</p>,Heavy Metal,Calendar,"Calendars, Luis Royo, onsale",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_royo.jpg?v=1505679513,1,Calendar 2008 Luis Royo Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_royo.jpg?v=1505679513,lb,,
